TC_ID,BugID
TC_ID_ID2,173106
TC_ID_ID2,1044214
TC_ID_ID2,713036
TC_ID_ID3,502500
TC_ID_ID3,354903
TC_ID_ID4,691160
TC_ID_ID5,465296
TC_ID_ID5,405457
TC_ID_ID6,1211042
TC_ID_ID6,936599
TC_ID_ID6,371170
TC_ID_ID6,622052
TC_ID_ID7,502418
TC_ID_ID7,934920
TC_ID_ID7,670108
TC_ID_ID7,283472
TC_ID_ID8,742394
TC_ID_ID9,504047
TC_ID_ID10,960572
TC_ID_ID10,1222804
TC_ID_ID10,1100343
TC_ID_ID10,724814
TC_ID_ID10,353445
TC_ID_ID11,617875
TC_ID_ID12,1216698
TC_ID_ID13,716279
TC_ID_ID13,390105
TC_ID_ID13,583116
TC_ID_ID14,672630
TC_ID_ID14,1428578
TC_ID_ID14,854144
TC_ID_ID15,800959
TC_ID_ID16,934377
TC_ID_ID16,643583
TC_ID_ID17,609096
TC_ID_ID17,1082830
TC_ID_ID18,943885
TC_ID_ID18,527067
TC_ID_ID19,1016361
TC_ID_ID19,698036
TC_ID_ID20,967227
TC_ID_ID20,930713
TC_ID_ID20,390105
TC_ID_ID20,647141
TC_ID_ID21,972311
TC_ID_ID21,424619
TC_ID_ID23,1136702
TC_ID_ID24,432550
TC_ID_ID25,998606
TC_ID_ID25,635075
TC_ID_ID26,613712
TC_ID_ID27,949151
TC_ID_ID27,635152
TC_ID_ID27,736974
TC_ID_ID27,553101
TC_ID_ID28,658512
TC_ID_ID28,448628
TC_ID_ID29,698677
TC_ID_ID30,827428
TC_ID_ID30,773046
TC_ID_ID30,626821
TC_ID_ID30,396020
TC_ID_ID31,546005
TC_ID_ID31,609100
TC_ID_ID32,1365619
TC_ID_ID32,405120
TC_ID_ID32,583657
TC_ID_ID33,198065
TC_ID_ID33,596800
TC_ID_ID33,1029698
TC_ID_ID33,716288
TC_ID_ID34,429583
TC_ID_ID34,639321
TC_ID_ID35,235347
TC_ID_ID35,862135
TC_ID_ID36,1414614
TC_ID_ID36,1406251
TC_ID_ID36,688937
TC_ID_ID36,395645
TC_ID_ID36,425708
TC_ID_ID37,696800
TC_ID_ID38,652108
TC_ID_ID38,589031
TC_ID_ID39,888176
TC_ID_ID40,425990
TC_ID_ID40,595344
TC_ID_ID40,665693
TC_ID_ID40,432076
TC_ID_ID41,709465
TC_ID_ID42,630255
TC_ID_ID42,318514
TC_ID_ID42,525193
TC_ID_ID43,625312
TC_ID_ID43,959536
TC_ID_ID43,712083
TC_ID_ID43,322777
TC_ID_ID44,1470418
TC_ID_ID44,613273
TC_ID_ID45,775400
TC_ID_ID45,627615
TC_ID_ID45,282515
TC_ID_ID46,651883
TC_ID_ID46,540155
TC_ID_ID46,590051
TC_ID_ID47,1037399
TC_ID_ID47,793018
TC_ID_ID48,702040
TC_ID_ID49,662866
TC_ID_ID49,465738
TC_ID_ID49,427907
TC_ID_ID50,1140073
TC_ID_ID50,400198
TC_ID_ID51,1201111
TC_ID_ID52,780453
TC_ID_ID54,1446858
TC_ID_ID54,1088090
TC_ID_ID54,882644
TC_ID_ID54,1130823
TC_ID_ID55,665606
TC_ID_ID55,630597
TC_ID_ID55,561297
TC_ID_ID55,472142
TC_ID_ID56,529854
TC_ID_ID56,1080858
TC_ID_ID56,791990
TC_ID_ID56,429550
TC_ID_ID57,575033
TC_ID_ID58,1473299
TC_ID_ID58,564630
TC_ID_ID59,697199
TC_ID_ID59,659939
TC_ID_ID59,552174
TC_ID_ID59,493267
TC_ID_ID60,998556
TC_ID_ID60,1020277
TC_ID_ID60,646062
TC_ID_ID60,513687
TC_ID_ID60,491838
TC_ID_ID60,622161
TC_ID_ID60,423961
