"BID","CID"
"BID198","CID1"
"BID499","CID1"
"BID1176","CID1"
"BID1309","CID1"
"BID1451","CID5"
"BID1929","CID5"
"BID2184","CID5"
"BID119","CID7"
"BID1117","CID11"
"BID1202","CID13"
"BID2037","CID13"
"BID572","CID17"
"BID376","CID21"
"BID2067","CID21"
"BID2938","CID21"
"BID626","CID23"
"BID2531","CID23"
"BID2845","CID23"
"BID189","CID25"
"BID1844","CID25"
"BID2509","CID27"
"BID2801","CID31"
"BID2602","CID33"
"BID1109","CID37"
"BID865","CID41"
"BID129","CID43"
"BID365","CID43"
"BID649","CID43"
"BID1211","CID43"
"BID1225","CID43"
"BID388","CID47"
"BID2211","CID47"
"BID2486","CID47"
"BID2789","CID47"
"BID1217","CID51"
"BID1439","CID51"
"BID2574","CID53"
"BID1787","CID55"
"BID547","CID61"
"BID98","CID65"
"BID499","CID65"
"BID224","CID67"
"BID2865","CID67"
"BID131","CID77"
"BID826","CID77"
"BID922","CID77"
"BID1854","CID77"
"BID2507","CID77"
"BID2850","CID77"
"BID15","CID81"
"BID210","CID81"
"BID905","CID81"
"BID1660","CID81"
"BID95","CID87"
"BID1878","CID87"
"BID2076","CID91"
"BID318","CID95"
"BID895","CID95"
"BID1513","CID95"
"BID82","CID97"
"BID2172","CID103"
"BID942","CID105"
"BID1982","CID107"
"BID2001","CID107"
"BID2146","CID107"
"BID1566","CID113"
"BID885","CID115"
"BID1011","CID115"
"BID1230","CID115"
"BID2170","CID117"
"BID2507","CID117"
"BID2925","CID121"
"BID2975","CID125"
"BID1488","CID133"
"BID806","CID135"
"BID1114","CID135"
"BID825","CID137"
"BID812","CID141"
"BID1992","CID147"
"BID2854","CID157"
"BID386","CID161"
"BID2540","CID161"
"BID1930","CID163"
"BID2914","CID167"
"BID2290","CID173"
"BID793","CID175"
"BID2135","CID175"
"BID2264","CID175"
"BID173","CID177"
"BID1558","CID181"
"BID2650","CID183"
"BID1780","CID185"
"BID1558","CID191"
"BID2794","CID195"
"BID1362","CID197"
"BID1871","CID197"
"BID1504","CID201"
"BID2213","CID205"
"BID2859","CID207"
"BID1113","CID211"
"BID2313","CID213"
"BID2921","CID215"
"BID2499","CID217"
"BID2273","CID221"
"BID2597","CID223"
"BID2750","CID225"
"BID149","CID227"
"BID2739","CID227"
"BID2803","CID227"
"BID731","CID231"
"BID412","CID235"
"BID2633","CID235"
"BID2909","CID237"
"BID618","CID245"
"BID549","CID247"
"BID537","CID253"
"BID607","CID253"
"BID1503","CID253"
"BID1607","CID255"
"BID2104","CID255"
"BID1105","CID257"
"BID2510","CID257"
"BID1491","CID261"
"BID2573","CID261"
"BID1980","CID263"
"BID64","CID271"
"BID1897","CID275"
"BID2924","CID275"
"BID516","CID277"
"BID2319","CID277"
"BID1640","CID281"
"BID617","CID283"
"BID1036","CID283"
"BID1154","CID283"
"BID132","CID285"
"BID1514","CID285"
"BID2872","CID285"
"BID2453","CID287"
"BID222","CID291"
"BID816","CID291"
"BID1870","CID291"
"BID922","CID293"
"BID2174","CID293"
"BID864","CID297"
"BID2295","CID297"
"BID2286","CID301"
"BID440","CID303"
"BID146","CID305"
"BID873","CID305"
"BID2008","CID305"
"BID2621","CID305"
"BID2698","CID305"
"BID388","CID307"
"BID2784","CID307"
"BID2106","CID311"
"BID2184","CID311"
"BID2653","CID311"
"BID2112","CID313"
"BID2613","CID313"
"BID1807","CID315"
"BID1909","CID315"
"BID2816","CID315"
"BID711","CID317"
"BID1164","CID317"
"BID2370","CID317"
"BID370","CID323"
"BID1937","CID323"
"BID1387","CID325"
"BID210","CID331"
"BID581","CID331"
"BID948","CID335"
"BID936","CID337"
"BID1595","CID337"
"BID780","CID341"
"BID2199","CID341"
"BID2305","CID341"
"BID634","CID343"
"BID1916","CID343"
"BID2654","CID343"
"BID1582","CID353"
"BID2214","CID353"
"BID410","CID357"
"BID1515","CID361"
"BID2161","CID361"
"BID2790","CID361"
"BID476","CID363"
"BID2773","CID363"
"BID1116","CID365"
"BID2959","CID367"
"BID78","CID371"
"BID2359","CID371"
"BID2505","CID371"
"BID186","CID373"
"BID2864","CID373"
"BID1497","CID375"
"BID153","CID377"
"BID2693","CID377"
"BID1750","CID381"
"BID2011","CID381"
"BID2039","CID381"
"BID2645","CID383"
"BID2205","CID387"
"BID2564","CID387"
"BID2568","CID387"
"BID2689","CID387"
"BID1387","CID391"
"BID1655","CID391"
"BID2366","CID391"
"BID1215","CID393"
"BID1557","CID393"
"BID2610","CID401"
"BID2788","CID401"
"BID2259","CID403"
"BID2296","CID405"
"BID154","CID407"
"BID391","CID407"
"BID2982","CID407"
"BID57","CID411"
"BID2167","CID411"
"BID409","CID413"
"BID2427","CID413"
"BID684","CID415"
"BID735","CID417"
"BID2720","CID423"
"BID323","CID431"
"BID677","CID431"
"BID1893","CID431"
"BID2612","CID431"
"BID575","CID433"
"BID396","CID435"
"BID2025","CID435"
"BID675","CID437"
"BID2333","CID437"
"BID92","CID441"
"BID1340","CID441"
"BID2472","CID441"
"BID2986","CID441"
"BID283","CID447"
"BID966","CID447"
"BID1074","CID447"
"BID2608","CID451"
"BID2855","CID451"
"BID2325","CID453"
"BID2382","CID455"
"BID1499","CID457"
"BID1685","CID461"
"BID2703","CID461"
"BID2343","CID463"
"BID254","CID467"
"BID1497","CID467"
"BID2383","CID467"
"BID773","CID471"
"BID1247","CID475"
"BID307","CID477"
"BID372","CID477"
"BID1696","CID477"
"BID2204","CID481"
"BID87","CID483"
"BID304","CID485"
"BID1534","CID485"
"BID1784","CID485"
"BID666","CID487"
"BID2829","CID487"
"BID869","CID491"
"BID1338","CID491"
"BID1741","CID491"
"BID1640","CID493"
"BID2949","CID493"
"BID422","CID497"
"BID496","CID501"
"BID2195","CID507"
"BID2093","CID515"
"BID148","CID517"
"BID151","CID517"
"BID593","CID517"
"BID2648","CID517"
"BID2363","CID521"
"BID1767","CID525"
"BID1974","CID525"
"BID2959","CID525"
"BID416","CID531"
"BID2055","CID531"
"BID724","CID533"
"BID1818","CID533"
"BID1837","CID533"
"BID2223","CID535"
"BID503","CID541"
"BID180","CID543"
"BID18","CID545"
"BID2844","CID545"
"BID2869","CID545"
"BID1507","CID547"
"BID1783","CID547"
"BID2264","CID547"
"BID1170","CID551"
"BID2758","CID553"
"BID1706","CID557"
"BID1954","CID557"
"BID759","CID561"
"BID1899","CID563"
"BID12","CID565"
"BID1444","CID567"
"BID1624","CID567"
"BID1284","CID571"
"BID1910","CID571"
"BID2681","CID573"
"BID309","CID575"
"BID650","CID577"
"BID1250","CID577"
"BID1683","CID577"
"BID2378","CID577"
"BID1191","CID581"
"BID2458","CID583"
"BID1241","CID585"
"BID1055","CID591"
"BID2834","CID595"
"BID1691","CID597"
"BID2358","CID597"
"BID1352","CID603"
"BID619","CID605"
"BID1081","CID605"
"BID1709","CID611"
"BID1566","CID613"
"BID160","CID615"
"BID2080","CID615"
"BID815","CID627"
"BID1188","CID627"
"BID1331","CID635"
"BID1617","CID635"
"BID2788","CID635"
"BID2821","CID635"
"BID2491","CID637"
"BID2937","CID637"
"BID1057","CID641"
"BID1118","CID641"
"BID1237","CID641"
"BID1754","CID641"
"BID537","CID643"
"BID1579","CID645"
"BID2538","CID645"
"BID2926","CID645"
"BID694","CID647"
"BID234","CID651"
"BID265","CID651"
"BID2695","CID653"
"BID2263","CID657"
"BID1010","CID661"
"BID1826","CID661"
"BID2538","CID661"
"BID840","CID663"
"BID961","CID663"
"BID2795","CID673"
"BID171","CID677"
"BID1449","CID677"
"BID1937","CID677"
"BID2606","CID677"
"BID2860","CID681"
"BID868","CID683"
"BID1682","CID687"
"BID2065","CID687"
"BID2625","CID687"
"BID97","CID693"
"BID525","CID693"
"BID796","CID693"
"BID891","CID693"
"BID1594","CID693"
"BID307","CID697"
"BID1238","CID701"
"BID2938","CID703"
"BID1044","CID705"
"BID255","CID707"
"BID1183","CID707"
"BID2111","CID707"
"BID1528","CID711"
"BID2235","CID711"
"BID867","CID713"
"BID1706","CID717"
"BID878","CID721"
"BID1133","CID721"
"BID1799","CID721"
"BID1841","CID721"
"BID1656","CID723"
"BID1419","CID725"
"BID2007","CID725"
"BID1442","CID727"
"BID2514","CID727"
"BID925","CID731"
"BID1650","CID731"
"BID1673","CID731"
"BID1862","CID735"
"BID535","CID737"
"BID834","CID737"
"BID2043","CID737"
"BID2524","CID737"
"BID2587","CID737"
"BID1277","CID741"
"BID2091","CID743"
"BID2683","CID745"
"BID518","CID747"
"BID606","CID747"
"BID2592","CID747"
"BID1395","CID753"
"BID2502","CID753"
"BID1395","CID757"
"BID2548","CID757"
"BID47","CID761"
"BID978","CID761"
"BID1459","CID761"
"BID2606","CID761"
"BID135","CID765"
"BID743","CID767"
"BID1763","CID767"
"BID1038","CID771"
"BID1728","CID771"
"BID1830","CID771"
"BID1660","CID773"
"BID2633","CID773"
"BID2743","CID773"
"BID128","CID775"
"BID388","CID775"
"BID1166","CID775"
"BID1445","CID775"
"BID1521","CID775"
"BID2118","CID775"
"BID1339","CID783"
"BID1786","CID783"
"BID97","CID787"
"BID1866","CID787"
"BID2016","CID787"
"BID2426","CID787"
"BID2014","CID791"
"BID2478","CID791"
"BID586","CID793"
"BID806","CID793"
"BID994","CID793"
"BID1074","CID793"
"BID1650","CID795"
"BID2689","CID795"
"BID2736","CID795"
"BID980","CID801"
"BID2418","CID803"
"BID2542","CID805"
"BID1423","CID807"
"BID2148","CID811"
"BID2263","CID811"
"BID319","CID815"
"BID671","CID815"
"BID1832","CID815"
"BID2261","CID815"
"BID2634","CID815"
"BID2263","CID817"
"BID2580","CID817"
"BID12","CID825"
"BID2858","CID825"
