"DID","AID"
"DID373","AID1777"
"DID2678","AID1777"
"DID317","AID2941"
"DID2343","AID2941"
"DID3681","AID2941"
"DID2744","AID2941"
"DID3618","AID2941"
"DID2759","AID2941"
"DID3376","AID2941"
"DID3224","AID2941"
"DID317","AID965"
"DID2343","AID965"
"DID3681","AID965"
"DID2744","AID965"
"DID3618","AID965"
"DID2759","AID965"
"DID3376","AID965"
"DID3224","AID965"
"DID1470","AID3929"
"DID2324","AID3929"
"DID1655","AID3929"
"DID3088","AID3929"
"DID1470","AID3941"
"DID2324","AID3941"
"DID1655","AID3941"
"DID3088","AID3941"
"DID1470","AID700"
"DID2324","AID700"
"DID1655","AID700"
"DID3088","AID700"
"DID1157","AID3956"
"DID3499","AID3956"
"DID11","AID3956"
"DID1497","AID3956"
"DID778","AID3531"
"DID2167","AID3531"
"DID1532","AID3531"
"DID2678","AID3531"
"DID1987","AID2779"
"DID3681","AID2779"
"DID3753","AID2779"
"DID977","AID2779"
"DID1356","AID2779"
"DID1987","AID38"
"DID3681","AID38"
"DID3753","AID38"
"DID977","AID38"
"DID1356","AID38"
"DID3448","AID1236"
"DID220","AID1236"
"DID1108","AID1236"
"DID3582","AID1236"
"DID2625","AID1236"
"DID3460","AID1236"
"DID1924","AID1236"
"DID3448","AID3157"
"DID220","AID3157"
"DID1108","AID3157"
"DID3582","AID3157"
"DID2625","AID3157"
"DID3460","AID3157"
"DID1924","AID3157"
"DID3448","AID478"
"DID220","AID478"
"DID1108","AID478"
"DID3582","AID478"
"DID2625","AID478"
"DID3460","AID478"
"DID1924","AID478"
"DID3804","AID2130"
"DID1574","AID2130"
"DID1590","AID2130"
"DID2817","AID2130"
"DID3275","AID2130"
"DID1150","AID2130"
"DID1946","AID2130"
"DID1098","AID2130"
"DID3905","AID2130"
"DID554","AID2130"
"DID2561","AID2130"
"DID3804","AID644"
"DID1574","AID644"
"DID1590","AID644"
"DID2817","AID644"
"DID3275","AID644"
"DID1150","AID644"
"DID1946","AID644"
"DID1098","AID644"
"DID3905","AID644"
"DID554","AID644"
"DID2561","AID644"
"DID2189","AID2739"
"DID3679","AID2739"
"DID3913","AID2739"
"DID619","AID2739"
"DID1382","AID2739"
"DID1462","AID2739"
"DID1657","AID2739"
"DID816","AID2739"
"DID1761","AID2739"
"DID2189","AID441"
"DID3679","AID441"
"DID3913","AID441"
"DID619","AID441"
"DID1382","AID441"
"DID1462","AID441"
"DID1657","AID441"
"DID816","AID441"
"DID1761","AID441"
