"CID","AID"
"CID5381","AID1777"
"CID4661","AID2941"
"CID7745","AID2941"
"CID4661","AID965"
"CID7745","AID965"
"CID3913","AID3929"
"CID4861","AID3929"
"CID3913","AID3941"
"CID4861","AID3941"
"CID3913","AID700"
"CID4861","AID700"
"CID6327","AID3956"
"CID6953","AID3956"
"CID1673","AID3531"
"CID3903","AID3531"
"CID6007","AID3531"
"CID8323","AID3531"
"CID5985","AID2779"
"CID5985","AID38"
"CID1051","AID1236"
"CID2595","AID1236"
"CID2995","AID1236"
"CID7165","AID1236"
"CID1051","AID3157"
"CID2595","AID3157"
"CID2995","AID3157"
"CID7165","AID3157"
"CID1051","AID478"
"CID2595","AID478"
"CID2995","AID478"
"CID7165","AID478"
"CID5391","AID2130"
"CID8447","AID2130"
"CID5391","AID644"
"CID8447","AID644"
"CID5145","AID2739"
"CID6833","AID2739"
"CID5145","AID441"
"CID6833","AID441"
"CID565","AID2303"
"CID825","AID2303"
"CID5417","AID2303"
"CID565","AID238"
"CID825","AID238"
"CID5417","AID238"
"CID565","AID2684"
"CID825","AID2684"
"CID5417","AID2684"
"CID565","AID398"
"CID825","AID398"
"CID5417","AID398"
"CID2213","AID1473"
"CID6565","AID1473"
"CID2213","AID3510"
"CID6565","AID3510"
"CID1793","AID1974"
"CID4885","AID1974"
"CID8601","AID1974"
"CID1793","AID2285"
"CID4885","AID2285"
"CID8601","AID2285"
"CID1793","AID662"
"CID4885","AID662"
"CID8601","AID662"
"CID81","AID1045"
"CID1405","AID1045"
"CID4875","AID1045"
"CID5675","AID1045"
"CID81","AID2098"
"CID1405","AID2098"
"CID4875","AID2098"
"CID5675","AID2098"
"CID81","AID3871"
"CID1405","AID3871"
"CID4875","AID3871"
"CID5675","AID3871"
"CID3325","AID1571"
"CID7001","AID1571"
"CID7613","AID2038"
"CID7613","AID2070"
"CID545","AID1810"
"CID7767","AID1810"
"CID8511","AID1810"
"CID8697","AID1810"
"CID545","AID2670"
"CID7767","AID2670"
"CID8511","AID2670"
"CID8697","AID2670"
"CID1615","AID145"
"CID893","AID2414"
"CID1575","AID2414"
"CID3367","AID2414"
"CID1567","AID1968"
"CID3165","AID1968"
"CID1567","AID3589"
"CID3165","AID3589"
"CID4135","AID2763"
"CID4737","AID2763"
"CID6541","AID1531"
"CID8837","AID1531"
"CID6541","AID2714"
"CID8837","AID2714"
"CID6541","AID3236"
"CID8837","AID3236"
"CID5273","AID128"
"CID6557","AID128"
"CID8875","AID128"
"CID3027","AID1026"
"CID3081","AID1026"
"CID2863","AID1875"
"CID3125","AID1875"
"CID1985","AID875"
"CID2687","AID875"
"CID4633","AID875"
"CID5303","AID3362"
"CID1407","AID1288"
"CID8591","AID1288"
"CID1407","AID3241"
"CID8591","AID3241"
"CID6345","AID2019"
"CID7613","AID2019"
"CID8481","AID2019"
"CID6463","AID2481"
"CID6463","AID3272"
"CID6463","AID560"
"CID2501","AID2398"
"CID7073","AID2398"
"CID8075","AID2398"
"CID2501","AID411"
"CID7073","AID411"
"CID8075","AID411"
"CID1235","AID651"
"CID2507","AID651"
"CID3115","AID2331"
"CID4881","AID2331"
"CID3115","AID991"
"CID4881","AID991"
"CID7445","AID1267"
"CID7545","AID1267"
"CID6041","AID585"
"CID8205","AID585"
"CID4141","AID808"
"CID7207","AID808"
"CID8571","AID808"
"CID3791","AID2257"
"CID5077","AID1395"
"CID5077","AID209"
"CID4927","AID2787"
"CID1575","AID1018"
"CID4917","AID1018"
"CID6415","AID1018"
"CID761","AID1182"
"CID985","AID194"
"CID3267","AID194"
"CID7703","AID194"
"CID3793","AID1797"
"CID3955","AID209"
"CID6785","AID209"
"CID3955","AID2932"
"CID6785","AID2932"
"CID873","AID1068"
"CID3911","AID1068"
"CID411","AID3161"
"CID3297","AID3161"
"CID3923","AID3161"
"CID8141","AID3161"
"CID5893","AID1006"
"CID5893","AID1291"
"CID5893","AID1324"
"CID5893","AID1516"
"CID7943","AID3220"
"CID3605","AID1395"
"CID5531","AID1395"
"CID7117","AID1395"
"CID3605","AID466"
"CID5531","AID466"
"CID7117","AID466"
"CID2631","AID1562"
"CID3591","AID1562"
"CID2631","AID3115"
"CID3591","AID3115"
"CID2101","AID101"
"CID2585","AID101"
"CID2101","AID16"
"CID2585","AID16"
"CID271","AID1619"
"CID8651","AID1619"
"CID271","AID2336"
"CID8651","AID2336"
"CID271","AID2479"
"CID8651","AID2479"
"CID271","AID3608"
"CID8651","AID3608"
"CID6695","AID1723"
"CID6695","AID3794"
"CID3497","AID3382"
"CID3497","AID83"
"CID5473","AID2169"
"CID3333","AID3894"
"CID4271","AID3894"
"CID2893","AID115"
"CID4415","AID115"
"CID2893","AID3608"
"CID4415","AID3608"
"CID8403","AID1448"
"CID8573","AID1448"
"CID8627","AID1448"
"CID8403","AID2816"
"CID8573","AID2816"
"CID8627","AID2816"
"CID3137","AID3010"
"CID7827","AID3010"
"CID1103","AID1641"
"CID5377","AID1641"
"CID1103","AID2376"
"CID5377","AID2376"
"CID1007","AID2540"
"CID1007","AID501"
"CID1803","AID3113"
"CID4723","AID3113"
"CID5097","AID3113"
"CID3727","AID1230"
"CID3727","AID2121"
"CID371","AID2130"
"CID4501","AID2130"
"CID371","AID2299"
"CID4501","AID2299"
"CID371","AID3100"
"CID4501","AID3100"
"CID3125","AID2811"
"CID5153","AID3131"
"CID5153","AID3692"
"CID97","AID1296"
"CID1745","AID1296"
"CID2901","AID1296"
"CID97","AID997"
"CID1745","AID997"
"CID2901","AID997"
"CID1091","AID495"
"CID1841","AID495"
"CID1285","AID2017"
"CID1285","AID22"
"CID1995","AID1554"
"CID2761","AID1554"
"CID1995","AID3461"
"CID2761","AID3461"
"CID483","AID348"
"CID1733","AID348"
"CID2067","AID348"
"CID483","AID385"
"CID1733","AID385"
"CID2067","AID385"
"CID1055","AID3787"
"CID5397","AID3787"
"CID6937","AID3787"
"CID7195","AID3787"
"CID8075","AID3787"
"CID2085","AID1368"
"CID7171","AID1368"
"CID3071","AID1280"
"CID3071","AID2084"
"CID3071","AID999"
"CID2743","AID2435"
"CID4515","AID2435"
"CID2743","AID946"
"CID4515","AID946"
"CID441","AID1708"
"CID441","AID2746"
"CID87","AID936"
"CID2651","AID936"
"CID6553","AID2540"
"CID8691","AID2540"
"CID6553","AID2643"
"CID8691","AID2643"
"CID6553","AID771"
"CID8691","AID771"
"CID6553","AID835"
"CID8691","AID835"
"CID693","AID308"
"CID787","AID308"
"CID7315","AID308"
"CID693","AID3509"
"CID787","AID3509"
"CID7315","AID3509"
"CID65","AID1517"
"CID1037","AID1517"
"CID1613","AID1517"
"CID2203","AID1196"
"CID2203","AID2972"
"CID1691","AID284"
"CID5657","AID284"
"CID1691","AID630"
"CID5657","AID630"
"CID2935","AID2638"
"CID7117","AID2638"
"CID2935","AID3409"
"CID7117","AID3409"
"CID2935","AID3800"
"CID7117","AID3800"
"CID2935","AID467"
"CID7117","AID467"
"CID3331","AID2462"
"CID6537","AID2462"
"CID3331","AID3290"
"CID6537","AID3290"
"CID6407","AID22"
"CID7601","AID22"
"CID6407","AID3425"
"CID7601","AID3425"
"CID6407","AID3483"
"CID7601","AID3483"
"CID6407","AID3488"
"CID7601","AID3488"
"CID1143","AID2350"
"CID4921","AID2350"
"CID8835","AID2350"
"CID1143","AID2892"
"CID4921","AID2892"
"CID8835","AID2892"
"CID5115","AID1858"
"CID5115","AID3453"
"CID5115","AID475"
"CID5115","AID52"
"CID2351","AID145"
"CID8077","AID1920"
"CID8077","AID3709"
"CID5713","AID1023"
"CID5713","AID810"
"CID6565","AID1502"
"CID8407","AID189"
"CID8407","AID2991"
"CID3663","AID1616"
"CID3965","AID1616"
"CID5243","AID1616"
"CID3663","AID3255"
"CID3965","AID3255"
"CID5243","AID3255"
"CID2461","AID3123"
"CID4203","AID3123"
"CID2461","AID3935"
"CID4203","AID3935"
"CID5051","AID1384"
"CID2313","AID2018"
"CID5741","AID2018"
"CID2313","AID2786"
"CID5741","AID2786"
"CID2313","AID2848"
"CID5741","AID2848"
"CID2313","AID632"
"CID5741","AID632"
"CID7","AID139"
"CID7","AID1993"
"CID985","AID2394"
"CID985","AID3302"
"CID1147","AID2554"
"CID1147","AID30"
"CID1147","AID554"
"CID1147","AID612"
"CID3213","AID1707"
"CID8723","AID1707"
"CID3213","AID3871"
"CID8723","AID3871"
"CID4337","AID118"
"CID4337","AID3142"
"CID4467","AID3497"
"CID3255","AID3948"
"CID6277","AID3948"
"CID775","AID1375"
"CID3475","AID1375"
"CID3921","AID1375"
"CID8363","AID1375"
"CID775","AID3629"
"CID3475","AID3629"
"CID3921","AID3629"
"CID8363","AID3629"
"CID43","AID264"
"CID4647","AID264"
"CID5133","AID431"
"CID6967","AID431"
"CID5133","AID498"
"CID6967","AID498"
"CID77","AID3696"
"CID1005","AID3696"
"CID7621","AID3696"
"CID8835","AID3696"
"CID285","AID2958"
"CID5533","AID1848"
"CID8813","AID1848"
"CID5533","AID3593"
"CID8813","AID3593"
"CID4145","AID3911"
"CID6835","AID3911"
"CID765","AID147"
"CID6115","AID147"
"CID6573","AID147"
"CID765","AID2665"
"CID6115","AID2665"
"CID6573","AID2665"
"CID765","AID3688"
"CID6115","AID3688"
"CID6573","AID3688"
"CID765","AID41"
"CID6115","AID41"
"CID6573","AID41"
"CID3775","AID3590"
"CID7791","AID3590"
"CID3775","AID491"
"CID7791","AID491"
"CID3775","AID803"
"CID7791","AID803"
"CID2313","AID3449"
"CID6341","AID3449"
"CID7103","AID3449"
"CID2313","AID3492"
"CID6341","AID3492"
"CID7103","AID3492"
"CID6525","AID2264"
"CID6525","AID2954"
"CID6925","AID3641"
"CID6925","AID70"
"CID2097","AID1600"
"CID2453","AID1600"
"CID2527","AID1600"
"CID3953","AID1600"
"CID7965","AID1600"
"CID3793","AID2685"
"CID6617","AID2685"
"CID6711","AID2685"
"CID7257","AID2685"
"CID3793","AID924"
"CID6617","AID924"
"CID6711","AID924"
"CID7257","AID924"
"CID3497","AID1450"
"CID3497","AID1708"
"CID6081","AID2130"
"CID6081","AID3507"
"CID305","AID2386"
"CID305","AID2811"
"CID6545","AID1936"
"CID517","AID3243"
"CID3563","AID3243"
"CID5655","AID3243"
"CID517","AID3982"
"CID3563","AID3982"
"CID5655","AID3982"
"CID227","AID2762"
"CID7791","AID2762"
"CID8273","AID837"
"CID517","AID3610"
"CID3747","AID3610"
"CID5585","AID3610"
"CID517","AID3969"
"CID3747","AID3969"
"CID5585","AID3969"
"CID377","AID398"
"CID8727","AID398"
"CID8863","AID398"
"CID407","AID2260"
"CID1425","AID2260"
"CID2215","AID2260"
"CID3811","AID2260"
"CID407","AID2366"
"CID1425","AID2366"
"CID2215","AID2366"
"CID3811","AID2366"
"CID407","AID3939"
"CID1425","AID3939"
"CID2215","AID3939"
"CID3811","AID3939"
"CID407","AID669"
"CID1425","AID669"
"CID2215","AID669"
"CID3811","AID669"
"CID1521","AID1437"
"CID8995","AID1437"
"CID1521","AID2625"
"CID8995","AID2625"
"CID1667","AID1550"
"CID2011","AID1550"
"CID3203","AID1550"
"CID7187","AID1550"
"CID1037","AID1791"
"CID3957","AID1791"
"CID1037","AID3769"
"CID3957","AID3769"
"CID5687","AID17"
"CID6001","AID17"
"CID5687","AID3451"
"CID6001","AID3451"
"CID615","AID2331"
"CID1321","AID2331"
"CID3667","AID2331"
"CID5777","AID2331"
"CID2595","AID1386"
"CID2687","AID1386"
"CID3391","AID1386"
"CID2595","AID1754"
"CID2687","AID1754"
"CID3391","AID1754"
"CID2595","AID2191"
"CID2687","AID2191"
"CID3391","AID2191"
"CID2595","AID2705"
"CID2687","AID2705"
"CID3391","AID2705"
"CID1285","AID1834"
"CID1913","AID2703"
"CID6153","AID2703"
"CID1913","AID3366"
"CID6153","AID3366"
"CID1913","AID3506"
"CID6153","AID3506"
"CID1913","AID3972"
"CID6153","AID3972"
"CID8487","AID271"
"CID8487","AID91"
"CID1427","AID2205"
"CID3355","AID2205"
"CID1427","AID3675"
"CID3355","AID3675"
"CID1427","AID3732"
"CID3355","AID3732"
"CID1427","AID934"
"CID3355","AID934"
"CID2143","AID1803"
"CID6455","AID1803"
"CID2143","AID2558"
"CID6455","AID2558"
"CID1903","AID3000"
"CID1903","AID3950"
"CID677","AID1882"
"CID8827","AID1882"
"CID677","AID215"
"CID8827","AID215"
"CID1611","AID1104"
"CID4647","AID1104"
"CID5867","AID1104"
"CID1611","AID1499"
"CID4647","AID1499"
"CID5867","AID1499"
"CID1611","AID3196"
"CID4647","AID3196"
"CID5867","AID3196"
"CID177","AID1009"
"CID4813","AID1009"
"CID8585","AID1009"
"CID177","AID2282"
"CID4813","AID2282"
"CID8585","AID2282"
"CID177","AID644"
"CID4813","AID644"
"CID8585","AID644"
"CID1027","AID659"
"CID4393","AID659"
"CID5255","AID159"
"CID6607","AID159"
"CID6961","AID159"
"CID3811","AID1569"
"CID3811","AID189"
"CID7537","AID1811"
"CID7537","AID2753"
"CID5903","AID2729"
"CID5903","AID3766"
"CID5903","AID9"
"CID5903","AID99"
"CID8025","AID2013"
"CID8025","AID2595"
"CID543","AID2229"
"CID1003","AID3730"
"CID7027","AID2531"
"CID7027","AID3031"
"CID8701","AID3965"
"CID4015","AID2317"
"CID4015","AID2516"
"CID8771","AID3691"
"CID8771","AID915"
"CID373","AID2446"
"CID1873","AID2532"
"CID4583","AID2532"
"CID5687","AID2532"
"CID1873","AID626"
"CID4583","AID626"
"CID5687","AID626"
"CID3233","AID3335"
"CID3391","AID3335"
"CID3767","AID3335"
"CID6535","AID3335"
"CID7761","AID3335"
