"BID","CID"
"BID198","CID1"
"BID499","CID1"
"BID1176","CID1"
"BID1309","CID1"
"BID1451","CID5"
"BID1929","CID5"
"BID2184","CID5"
"BID1117","CID11"
"BID1202","CID13"
"BID2037","CID13"
"BID376","CID21"
"BID2067","CID21"
"BID2938","CID21"
"BID626","CID23"
"BID2531","CID23"
"BID2845","CID23"
"BID189","CID25"
"BID1844","CID25"
"BID2801","CID31"
"BID2602","CID33"
"BID865","CID41"
"BID129","CID43"
"BID365","CID43"
"BID649","CID43"
"BID1211","CID43"
"BID1225","CID43"
"BID1217","CID51"
"BID1439","CID51"
"BID2574","CID53"
"BID1787","CID55"
"BID547","CID61"
"BID98","CID65"
"BID499","CID65"
"BID15","CID81"
"BID210","CID81"
"BID905","CID81"
"BID1660","CID81"
"BID2076","CID91"
"BID318","CID95"
"BID895","CID95"
"BID1513","CID95"
"BID2172","CID103"
"BID942","CID105"
"BID1566","CID113"
"BID885","CID115"
"BID1011","CID115"
"BID1230","CID115"
"BID2925","CID121"
"BID2975","CID125"
"BID1488","CID133"
"BID806","CID135"
"BID1114","CID135"
"BID812","CID141"
"BID386","CID161"
"BID2540","CID161"
"BID1930","CID163"
"BID2290","CID173"
"BID793","CID175"
"BID2135","CID175"
"BID2264","CID175"
"BID1558","CID181"
"BID2650","CID183"
"BID1780","CID185"
"BID1558","CID191"
"BID2794","CID195"
"BID1504","CID201"
"BID2213","CID205"
"BID1113","CID211"
"BID2313","CID213"
"BID2921","CID215"
"BID2273","CID221"
"BID2597","CID223"
"BID2750","CID225"
"BID731","CID231"
"BID412","CID235"
"BID2633","CID235"
"BID618","CID245"
"BID537","CID253"
"BID607","CID253"
"BID1503","CID253"
"BID1607","CID255"
"BID2104","CID255"
"BID1491","CID261"
"BID2573","CID261"
"BID1980","CID263"
"BID64","CID271"
"BID1897","CID275"
"BID2924","CID275"
"BID1640","CID281"
"BID617","CID283"
"BID1036","CID283"
"BID1154","CID283"
"BID132","CID285"
"BID1514","CID285"
"BID2872","CID285"
"BID222","CID291"
"BID816","CID291"
"BID1870","CID291"
"BID922","CID293"
"BID2174","CID293"
"BID2286","CID301"
"BID440","CID303"
"BID146","CID305"
"BID873","CID305"
"BID2008","CID305"
"BID2621","CID305"
"BID2698","CID305"
"BID2106","CID311"
"BID2184","CID311"
"BID2653","CID311"
"BID2112","CID313"
"BID2613","CID313"
"BID1807","CID315"
"BID1909","CID315"
"BID2816","CID315"
"BID370","CID323"
"BID1937","CID323"
"BID1387","CID325"
"BID210","CID331"
"BID581","CID331"
"BID948","CID335"
"BID780","CID341"
"BID2199","CID341"
"BID2305","CID341"
"BID634","CID343"
"BID1916","CID343"
"BID2654","CID343"
"BID1582","CID353"
"BID2214","CID353"
"BID1515","CID361"
"BID2161","CID361"
"BID2790","CID361"
"BID476","CID363"
"BID2773","CID363"
"BID1116","CID365"
"BID78","CID371"
"BID2359","CID371"
"BID2505","CID371"
"BID186","CID373"
"BID2864","CID373"
"BID1497","CID375"
"BID1750","CID381"
"BID2011","CID381"
"BID2039","CID381"
"BID2645","CID383"
"BID1387","CID391"
"BID1655","CID391"
"BID2366","CID391"
"BID1215","CID393"
"BID1557","CID393"
"BID2610","CID401"
"BID2788","CID401"
"BID2259","CID403"
"BID2296","CID405"
"BID57","CID411"
"BID2167","CID411"
"BID409","CID413"
"BID2427","CID413"
"BID684","CID415"
"BID2720","CID423"
"BID323","CID431"
"BID677","CID431"
"BID1893","CID431"
"BID2612","CID431"
"BID575","CID433"
"BID396","CID435"
"BID2025","CID435"
"BID92","CID441"
"BID1340","CID441"
"BID2472","CID441"
"BID2986","CID441"
"BID2608","CID451"
"BID2855","CID451"
"BID2325","CID453"
"BID2382","CID455"
"BID1685","CID461"
"BID2703","CID461"
"BID2343","CID463"
"BID773","CID471"
"BID1247","CID475"
"BID2204","CID481"
"BID87","CID483"
"BID304","CID485"
"BID1534","CID485"
"BID1784","CID485"
"BID869","CID491"
"BID1338","CID491"
"BID1741","CID491"
"BID1640","CID493"
"BID2949","CID493"
"BID496","CID501"
"BID2093","CID515"
"BID2363","CID521"
"BID1767","CID525"
"BID1974","CID525"
"BID2959","CID525"
"BID416","CID531"
"BID2055","CID531"
"BID724","CID533"
"BID1818","CID533"
"BID1837","CID533"
"BID2223","CID535"
"BID503","CID541"
"BID180","CID543"
"BID18","CID545"
"BID2844","CID545"
"BID2869","CID545"
"BID1170","CID551"
"BID2758","CID553"
"BID759","CID561"
"BID1899","CID563"
"BID12","CID565"
"BID1284","CID571"
"BID1910","CID571"
"BID2681","CID573"
"BID309","CID575"
"BID1191","CID581"
"BID2458","CID583"
"BID1241","CID585"
"BID1055","CID591"
"BID2834","CID595"
"BID1352","CID603"
"BID619","CID605"
"BID1081","CID605"
"BID1709","CID611"
"BID1566","CID613"
"BID160","CID615"
"BID2080","CID615"
"BID1331","CID635"
"BID1617","CID635"
"BID2788","CID635"
"BID2821","CID635"
"BID1057","CID641"
"BID1118","CID641"
"BID1237","CID641"
"BID1754","CID641"
"BID537","CID643"
"BID1579","CID645"
"BID2538","CID645"
"BID2926","CID645"
"BID234","CID651"
"BID265","CID651"
"BID2695","CID653"
"BID1010","CID661"
"BID1826","CID661"
"BID2538","CID661"
"BID840","CID663"
"BID961","CID663"
"BID2795","CID673"
"BID2860","CID681"
"BID868","CID683"
"BID97","CID693"
"BID525","CID693"
"BID796","CID693"
"BID891","CID693"
"BID1594","CID693"
"BID1238","CID701"
"BID2938","CID703"
"BID1044","CID705"
"BID1528","CID711"
"BID2235","CID711"
"BID867","CID713"
"BID878","CID721"
"BID1133","CID721"
"BID1799","CID721"
"BID1841","CID721"
"BID1656","CID723"
"BID1419","CID725"
"BID2007","CID725"
"BID925","CID731"
"BID1650","CID731"
"BID1673","CID731"
"BID1862","CID735"
"BID1277","CID741"
"BID2091","CID743"
"BID2683","CID745"
"BID1395","CID753"
"BID2502","CID753"
"BID47","CID761"
"BID978","CID761"
"BID1459","CID761"
"BID2606","CID761"
"BID135","CID765"
"BID1038","CID771"
"BID1728","CID771"
"BID1830","CID771"
"BID1660","CID773"
"BID2633","CID773"
"BID2743","CID773"
"BID128","CID775"
"BID388","CID775"
"BID1166","CID775"
"BID1445","CID775"
"BID1521","CID775"
"BID2118","CID775"
"BID1339","CID783"
"BID1786","CID783"
"BID2014","CID791"
"BID2478","CID791"
"BID586","CID793"
"BID806","CID793"
"BID994","CID793"
"BID1074","CID793"
"BID1650","CID795"
"BID2689","CID795"
"BID2736","CID795"
"BID980","CID801"
"BID2418","CID803"
"BID2542","CID805"
"BID2148","CID811"
"BID2263","CID811"
"BID319","CID815"
"BID671","CID815"
"BID1832","CID815"
"BID2261","CID815"
"BID2634","CID815"
"BID12","CID825"
"BID2858","CID825"
"BID1459","CID835"
"BID1686","CID843"
"BID1388","CID851"
"BID730","CID853"
"BID1533","CID853"
"BID1252","CID855"
"BID1453","CID855"
"BID2753","CID855"
"BID300","CID861"
"BID2879","CID863"
"BID56","CID873"
"BID1308","CID873"
"BID1864","CID885"
"BID2176","CID891"
"BID20","CID893"
"BID1155","CID895"
"BID2755","CID895"
"BID259","CID905"
"BID2000","CID905"
"BID313","CID911"
"BID618","CID911"
"BID2703","CID911"
"BID2938","CID911"
"BID605","CID913"
"BID2168","CID913"
"BID1465","CID921"
"BID628","CID923"
"BID1429","CID923"
"BID1595","CID923"
"BID2626","CID923"
"BID2813","CID923"
"BID1276","CID925"
"BID222","CID931"
"BID818","CID931"
"BID2934","CID943"
"BID476","CID945"
"BID2667","CID951"
"BID1243","CID955"
"BID2677","CID961"
"BID864","CID963"
"BID1590","CID963"
"BID1737","CID963"
"BID1879","CID971"
"BID402","CID973"
"BID608","CID973"
"BID1017","CID973"
"BID1188","CID973"
"BID1232","CID975"
"BID673","CID981"
"BID48","CID985"
"BID121","CID985"
"BID2175","CID985"
"BID2052","CID991"
"BID2166","CID991"
"BID2605","CID991"
"BID2982","CID995"
"BID181","CID1003"
"BID1447","CID1003"
"BID131","CID1005"
"BID1944","CID1005"
"BID837","CID1011"
"BID1101","CID1011"
"BID194","CID1021"
"BID630","CID1021"
"BID406","CID1025"
"BID1526","CID1035"
"BID1960","CID1035"
"BID8","CID1051"
"BID221","CID1051"
"BID650","CID1051"
"BID1210","CID1051"
"BID2073","CID1053"
"BID2990","CID1053"
"BID88","CID1055"
"BID2037","CID1055"
"BID2333","CID1055"
"BID1771","CID1061"
"BID2075","CID1061"
"BID1356","CID1063"
"BID1761","CID1073"
"BID2064","CID1073"
"BID700","CID1075"
"BID1900","CID1085"
"BID83","CID1091"
"BID2698","CID1091"
"BID374","CID1093"
"BID544","CID1093"
"BID1867","CID1093"
"BID992","CID1095"
"BID2519","CID1095"
"BID1774","CID1101"
"BID2501","CID1101"
"BID2750","CID1101"
"BID2842","CID1101"
"BID74","CID1103"
"BID1650","CID1103"
"BID1945","CID1103"
"BID2723","CID1103"
"BID1180","CID1105"
"BID1416","CID1111"
"BID2629","CID1111"
"BID1952","CID1115"
"BID1422","CID1121"
"BID1511","CID1121"
"BID1832","CID1121"
"BID2408","CID1121"
"BID1611","CID1123"
"BID749","CID1125"
"BID1980","CID1125"
"BID2923","CID1125"
"BID2209","CID1131"
"BID635","CID1135"
"BID104","CID1143"
"BID1989","CID1143"
"BID2118","CID1143"
"BID900","CID1151"
"BID2545","CID1151"
"BID315","CID1153"
"BID567","CID1153"
"BID2726","CID1153"
"BID790","CID1155"
"BID600","CID1161"
"BID2407","CID1161"
"BID2573","CID1161"
"BID367","CID1163"
"BID2081","CID1163"
"BID317","CID1171"
"BID924","CID1173"
"BID1444","CID1181"
