"CID","AID"
"CID316","AID1777"
"CID5381","AID1777"
"CID6919","AID1777"
"CID1730","AID2941"
"CID2668","AID2941"
"CID2932","AID2941"
"CID4661","AID2941"
"CID6646","AID2941"
"CID7745","AID2941"
"CID1730","AID965"
"CID2668","AID965"
"CID2932","AID965"
"CID4661","AID965"
"CID6646","AID965"
"CID7745","AID965"
"CID360","AID3929"
"CID584","AID3929"
"CID2636","AID3929"
"CID3913","AID3929"
"CID4470","AID3929"
"CID4861","AID3929"
"CID5996","AID3929"
"CID360","AID3941"
"CID584","AID3941"
"CID2636","AID3941"
"CID3913","AID3941"
"CID4470","AID3941"
"CID4861","AID3941"
"CID5996","AID3941"
"CID360","AID700"
"CID584","AID700"
"CID2636","AID700"
"CID3913","AID700"
"CID4470","AID700"
"CID4861","AID700"
"CID5996","AID700"
"CID6327","AID3956"
"CID6953","AID3956"
"CID1673","AID3531"
"CID3903","AID3531"
"CID6007","AID3531"
"CID6280","AID3531"
"CID8323","AID3531"
"CID476","AID2779"
"CID5985","AID2779"
"CID476","AID38"
"CID5985","AID38"
"CID2484","AID2324"
"CID2484","AID3962"
"CID1051","AID1236"
"CID2595","AID1236"
"CID2995","AID1236"
"CID7165","AID1236"
"CID1051","AID3157"
"CID2595","AID3157"
"CID2995","AID3157"
"CID7165","AID3157"
"CID1051","AID478"
"CID2595","AID478"
"CID2995","AID478"
"CID7165","AID478"
"CID7098","AID104"
"CID7098","AID2780"
"CID680","AID2130"
"CID940","AID2130"
"CID5391","AID2130"
"CID6229","AID2130"
"CID6540","AID2130"
"CID8149","AID2130"
"CID8447","AID2130"
"CID680","AID644"
"CID940","AID644"
"CID5391","AID644"
"CID6229","AID644"
"CID6540","AID644"
"CID8149","AID644"
"CID8447","AID644"
"CID5145","AID2739"
"CID5430","AID2739"
"CID6833","AID2739"
"CID5145","AID441"
"CID5430","AID441"
"CID6833","AID441"
"CID565","AID2303"
"CID825","AID2303"
"CID5417","AID2303"
"CID565","AID238"
"CID825","AID238"
"CID5417","AID238"
"CID565","AID2684"
"CID825","AID2684"
"CID5417","AID2684"
"CID565","AID398"
"CID825","AID398"
"CID5417","AID398"
"CID1038","AID1473"
"CID2213","AID1473"
"CID4519","AID1473"
"CID6565","AID1473"
"CID1038","AID3510"
"CID2213","AID3510"
"CID4519","AID3510"
"CID6565","AID3510"
"CID739","AID1974"
"CID1229","AID1974"
"CID1793","AID1974"
"CID4885","AID1974"
"CID5396","AID1974"
"CID7168","AID1974"
"CID8601","AID1974"
"CID739","AID2285"
"CID1229","AID2285"
"CID1793","AID2285"
"CID4885","AID2285"
"CID5396","AID2285"
"CID7168","AID2285"
"CID8601","AID2285"
"CID739","AID662"
"CID1229","AID662"
"CID1793","AID662"
"CID4885","AID662"
"CID5396","AID662"
"CID7168","AID662"
"CID8601","AID662"
"CID81","AID1045"
"CID1405","AID1045"
"CID4372","AID1045"
"CID4829","AID1045"
"CID4875","AID1045"
"CID5675","AID1045"
"CID81","AID2098"
"CID1405","AID2098"
"CID4372","AID2098"
"CID4829","AID2098"
"CID4875","AID2098"
"CID5675","AID2098"
"CID81","AID3871"
"CID1405","AID3871"
"CID4372","AID3871"
"CID4829","AID3871"
"CID4875","AID3871"
"CID5675","AID3871"
"CID3325","AID1571"
"CID7001","AID1571"
"CID1794","AID2038"
"CID5776","AID2038"
"CID5938","AID2038"
"CID7613","AID2038"
"CID1794","AID2070"
"CID5776","AID2070"
"CID5938","AID2070"
"CID7613","AID2070"
"CID545","AID1810"
"CID5420","AID1810"
"CID6638","AID1810"
"CID7308","AID1810"
"CID7767","AID1810"
"CID8511","AID1810"
"CID8697","AID1810"
"CID545","AID2670"
"CID5420","AID2670"
"CID6638","AID2670"
"CID7308","AID2670"
"CID7767","AID2670"
"CID8511","AID2670"
"CID8697","AID2670"
"CID1615","AID145"
"CID770","AID2414"
"CID893","AID2414"
"CID1575","AID2414"
"CID3367","AID2414"
"CID8050","AID2414"
"CID954","AID26"
"CID8232","AID26"
"CID916","AID1494"
"CID2686","AID1494"
"CID2869","AID1494"
"CID916","AID2651"
"CID2686","AID2651"
"CID2869","AID2651"
"CID366","AID2095"
"CID922","AID2095"
"CID972","AID2095"
"CID1976","AID2095"
"CID2860","AID2095"
"CID4528","AID2095"
"CID7388","AID2095"
"CID366","AID2259"
"CID922","AID2259"
"CID972","AID2259"
"CID1976","AID2259"
"CID2860","AID2259"
"CID4528","AID2259"
"CID7388","AID2259"
"CID366","AID2860"
"CID922","AID2860"
"CID972","AID2860"
"CID1976","AID2860"
"CID2860","AID2860"
"CID4528","AID2860"
"CID7388","AID2860"
"CID366","AID699"
"CID922","AID699"
"CID972","AID699"
"CID1976","AID699"
"CID2860","AID699"
"CID4528","AID699"
"CID7388","AID699"
"CID1567","AID1968"
"CID3165","AID1968"
"CID1567","AID3589"
"CID3165","AID3589"
"CID2684","AID909"
"CID4135","AID2763"
"CID4737","AID2763"
"CID5122","AID2763"
"CID6541","AID1531"
"CID8837","AID1531"
"CID6541","AID2714"
"CID8837","AID2714"
"CID6541","AID3236"
"CID8837","AID3236"
"CID2996","AID128"
"CID4819","AID128"
"CID5273","AID128"
"CID6557","AID128"
"CID7790","AID128"
"CID8838","AID128"
"CID8875","AID128"
"CID692","AID1026"
"CID3027","AID1026"
"CID3081","AID1026"
"CID3799","AID1026"
"CID5564","AID1026"
"CID8184","AID1026"
"CID1886","AID1875"
"CID2863","AID1875"
"CID3125","AID1875"
"CID7672","AID1875"
"CID1089","AID875"
"CID1985","AID875"
"CID2687","AID875"
"CID4633","AID875"
"CID7286","AID875"
"CID8314","AID875"
"CID5303","AID3362"
"CID8369","AID3362"
"CID49","AID179"
"CID710","AID179"
"CID2339","AID179"
"CID6612","AID179"
"CID49","AID2607"
"CID710","AID2607"
"CID2339","AID2607"
"CID6612","AID2607"
"CID1407","AID1288"
"CID5906","AID1288"
"CID6690","AID1288"
"CID6949","AID1288"
"CID8591","AID1288"
"CID1407","AID3241"
"CID5906","AID3241"
"CID6690","AID3241"
"CID6949","AID3241"
"CID8591","AID3241"
"CID1036","AID2019"
"CID1794","AID2019"
"CID6345","AID2019"
"CID7308","AID2019"
"CID7613","AID2019"
"CID8481","AID2019"
"CID6463","AID2481"
"CID6463","AID3272"
"CID6463","AID560"
"CID1134","AID2398"
"CID2501","AID2398"
"CID2678","AID2398"
"CID6350","AID2398"
"CID7008","AID2398"
"CID7073","AID2398"
"CID8075","AID2398"
"CID1134","AID411"
"CID2501","AID411"
"CID2678","AID411"
"CID6350","AID411"
"CID7008","AID411"
"CID7073","AID411"
