"DID","AID"
"DID1","AID1446"
"DID1","AID3311"
"DID1","AID818"
"DID1","AID1839"
"DID7","AID228"
"DID7","AID2906"
"DID7","AID363"
"DID7","AID1756"
"DID11","AID3956"
"DID11","AID378"
"DID12","AID1361"
"DID13","AID3256"
"DID13","AID3486"
"DID13","AID3982"
"DID13","AID412"
"DID13","AID16"
"DID13","AID3160"
"DID14","AID3195"
"DID14","AID3517"
"DID14","AID947"
"DID14","AID1112"
"DID25","AID2015"
"DID25","AID3311"
"DID27","AID3135"
"DID27","AID749"
"DID27","AID750"
"DID27","AID1807"
"DID27","AID3994"
"DID29","AID2327"
"DID29","AID346"
"DID29","AID3513"
"DID29","AID3544"
"DID29","AID1912"
"DID29","AID3678"
"DID29","AID3696"
"DID29","AID1187"
"DID29","AID362"
"DID31","AID3220"
"DID31","AID1579"
"DID31","AID1710"
"DID31","AID2753"
"DID31","AID3690"
"DID31","AID929"
"DID31","AID2471"
"DID31","AID2574"
"DID31","AID3508"
"DID31","AID3568"
"DID35","AID1386"
"DID35","AID224"
"DID37","AID3449"
"DID37","AID3492"
"DID37","AID649"
"DID37","AID1740"
"DID37","AID2285"
"DID37","AID3673"
"DID37","AID783"
"DID38","AID2337"
"DID38","AID3605"
"DID45","AID2309"
"DID45","AID2702"
"DID45","AID3608"
"DID56","AID1762"
"DID56","AID1904"
"DID56","AID2229"
"DID56","AID255"
"DID58","AID2208"
"DID58","AID2924"
"DID58","AID662"
"DID63","AID181"
"DID63","AID3326"
"DID63","AID3676"
"DID63","AID1826"
"DID63","AID2619"
"DID63","AID3454"
"DID63","AID3818"
"DID76","AID2653"
"DID76","AID3337"
"DID76","AID902"
"DID76","AID1124"
"DID76","AID3161"
"DID76","AID3099"
"DID76","AID3869"
"DID78","AID1172"
"DID82","AID3018"
"DID82","AID3921"
"DID85","AID1704"
"DID85","AID2442"
"DID85","AID2715"
"DID85","AID922"
"DID86","AID1717"
"DID86","AID2406"
"DID86","AID2743"
"DID86","AID3854"
"DID86","AID3692"
"DID88","AID1121"
"DID88","AID2033"
"DID88","AID280"
"DID88","AID281"
"DID90","AID884"
"DID90","AID2248"
"DID98","AID3570"
"DID98","AID2152"
"DID98","AID3807"
"DID98","AID3952"
"DID98","AID575"
"DID98","AID869"
"DID98","AID239"
"DID98","AID2742"
"DID102","AID251"
"DID106","AID612"
"DID107","AID1519"
"DID107","AID2948"
"DID107","AID3955"
"DID107","AID3053"
"DID107","AID3085"
"DID109","AID2532"
"DID109","AID626"
"DID109","AID2531"
"DID109","AID3609"
"DID109","AID1052"
"DID109","AID3955"
"DID112","AID3384"
"DID112","AID2021"
"DID118","AID461"
"DID119","AID2427"
"DID119","AID479"
"DID119","AID1534"
"DID119","AID100"
"DID119","AID215"
"DID119","AID2657"
"DID124","AID1125"
"DID124","AID3635"
"DID124","AID125"
"DID124","AID3378"
"DID125","AID3663"
"DID125","AID984"
"DID128","AID3654"
"DID131","AID1328"
"DID131","AID1885"
"DID131","AID3136"
"DID132","AID1467"
"DID132","AID1494"
"DID141","AID1939"
"DID141","AID2136"
"DID141","AID2857"
"DID141","AID3176"
"DID142","AID3531"
"DID142","AID3546"
"DID142","AID3708"
"DID142","AID832"
"DID143","AID2682"
"DID143","AID3176"
"DID143","AID3979"
"DID143","AID564"
"DID145","AID1651"
"DID145","AID1910"
"DID145","AID377"
"DID145","AID3795"
"DID146","AID584"
"DID146","AID1119"
"DID146","AID1144"
"DID146","AID3615"
"DID146","AID829"
"DID147","AID2968"
"DID148","AID1415"
"DID148","AID246"
"DID148","AID3907"
"DID148","AID3745"
"DID148","AID864"
"DID148","AID2022"
"DID148","AID2996"
"DID148","AID3808"
"DID150","AID3107"
"DID150","AID175"
"DID150","AID3044"
"DID153","AID1940"
"DID153","AID242"
"DID153","AID3092"
"DID153","AID1254"
"DID153","AID3037"
"DID157","AID2286"
"DID157","AID244"
"DID157","AID3113"
"DID157","AID3448"
"DID157","AID2322"
"DID157","AID3537"
"DID157","AID1379"
"DID157","AID2642"
"DID157","AID2942"
"DID157","AID2675"
"DID157","AID499"
"DID158","AID168"
"DID158","AID1315"
"DID158","AID1556"
"DID158","AID1943"
"DID158","AID2173"
"DID168","AID447"
"DID168","AID790"
"DID168","AID3512"
"DID168","AID2925"
"DID168","AID294"
"DID172","AID3333"
"DID174","AID3202"
"DID174","AID675"
"DID181","AID625"
"DID187","AID2734"
"DID187","AID3884"
"DID187","AID411"
"DID190","AID1832"
"DID190","AID2162"
"DID190","AID51"
"DID190","AID987"
"DID192","AID3792"
"DID192","AID733"
"DID203","AID1026"
"DID203","AID1364"
"DID203","AID2613"
"DID206","AID1059"
"DID206","AID72"
"DID207","AID3903"
"DID207","AID1869"
"DID207","AID3193"
"DID208","AID3705"
"DID208","AID3512"
"DID208","AID3407"
"DID208","AID457"
"DID208","AID55"
"DID208","AID74"
"DID211","AID174"
"DID211","AID2496"
"DID211","AID3022"
"DID211","AID3456"
"DID211","AID3654"
"DID212","AID2615"
"DID212","AID2883"
"DID214","AID1963"
"DID214","AID2539"
"DID214","AID3290"
"DID214","AID1496"
"DID214","AID3462"
"DID214","AID3888"
"DID214","AID1364"
"DID214","AID2198"
"DID214","AID2783"
"DID214","AID3567"
"DID214","AID1244"
"DID214","AID1980"
"DID214","AID1981"
"DID214","AID3612"
"DID214","AID3740"
"DID214","AID685"
"DID214","AID1890"
"DID214","AID2177"
"DID218","AID1848"
"DID218","AID3593"
"DID218","AID257"
