"DID","AID"
"DID14","AID3195"
"DID14","AID3517"
"DID14","AID947"
"DID14","AID1112"
"DID37","AID3449"
"DID37","AID3492"
"DID37","AID649"
"DID37","AID1740"
"DID37","AID2285"
"DID37","AID3673"
"DID37","AID783"
"DID38","AID2337"
"DID38","AID3605"
"DID45","AID2309"
"DID45","AID2702"
"DID45","AID3608"
"DID56","AID1762"
"DID56","AID1904"
"DID56","AID2229"
"DID56","AID255"
"DID78","AID1172"
"DID88","AID1121"
"DID88","AID2033"
"DID88","AID280"
"DID88","AID281"
"DID90","AID884"
"DID90","AID2248"
"DID106","AID612"
"DID107","AID1519"
"DID107","AID2948"
"DID107","AID3955"
"DID107","AID3053"
"DID107","AID3085"
"DID109","AID1052"
"DID109","AID3955"
"DID119","AID2427"
"DID119","AID479"
"DID119","AID1534"
"DID119","AID100"
"DID119","AID215"
"DID119","AID2657"
"DID128","AID3654"
"DID131","AID1328"
"DID131","AID1885"
"DID131","AID3136"
"DID132","AID1467"
"DID132","AID1494"
"DID141","AID1939"
"DID141","AID2136"
"DID141","AID2857"
"DID141","AID3176"
"DID142","AID3531"
"DID142","AID3546"
"DID142","AID3708"
"DID142","AID832"
"DID143","AID2682"
"DID143","AID3176"
"DID143","AID3979"
"DID143","AID564"
"DID147","AID2968"
"DID148","AID1415"
"DID148","AID246"
"DID148","AID3907"
"DID157","AID2286"
"DID157","AID244"
"DID157","AID3113"
"DID157","AID3448"
"DID157","AID2322"
"DID157","AID3537"
"DID157","AID1379"
"DID157","AID2642"
"DID157","AID2942"
"DID157","AID2675"
"DID157","AID499"
"DID158","AID168"
"DID158","AID1315"
"DID158","AID1556"
"DID158","AID1943"
"DID158","AID2173"
"DID168","AID447"
"DID168","AID790"
"DID168","AID3512"
"DID168","AID2925"
"DID168","AID294"
"DID174","AID3202"
"DID174","AID675"
"DID190","AID1832"
"DID190","AID2162"
"DID190","AID51"
"DID190","AID987"
"DID203","AID1026"
"DID203","AID1364"
"DID203","AID2613"
"DID206","AID1059"
"DID206","AID72"
"DID208","AID3407"
"DID208","AID457"
"DID208","AID55"
"DID208","AID74"
"DID214","AID3740"
"DID214","AID685"
"DID214","AID1890"
"DID214","AID2177"
"DID220","AID1655"
"DID220","AID1674"
"DID220","AID2539"
"DID220","AID94"
"DID222","AID1927"
"DID222","AID194"
"DID222","AID1980"
"DID222","AID2641"
"DID222","AID3030"
"DID222","AID507"
"DID224","AID170"
"DID224","AID3654"
"DID228","AID323"
"DID228","AID515"
"DID228","AID778"
"DID229","AID611"
"DID231","AID1500"
"DID231","AID3681"
"DID242","AID3843"
"DID242","AID711"
"DID242","AID2671"
"DID252","AID1242"
"DID252","AID1137"
"DID252","AID1834"
"DID252","AID90"
"DID253","AID2643"
"DID253","AID2915"
"DID253","AID3205"
"DID253","AID451"
"DID253","AID2634"
"DID253","AID3421"
"DID254","AID1139"
"DID254","AID2177"
"DID254","AID314"
"DID254","AID402"
"DID255","AID3644"
"DID255","AID1885"
"DID263","AID495"
"DID263","AID1819"
"DID263","AID105"
"DID265","AID2851"
"DID265","AID3515"
"DID265","AID1974"
"DID265","AID2285"
"DID265","AID662"
"DID268","AID14"
"DID268","AID1466"
"DID268","AID1481"
"DID268","AID2284"
"DID268","AID1544"
"DID268","AID5"
"DID268","AID609"
"DID283","AID2306"
"DID283","AID3735"
"DID283","AID2925"
"DID283","AID294"
"DID286","AID1704"
"DID286","AID768"
"DID286","AID1554"
"DID288","AID1657"
"DID288","AID792"
"DID289","AID1375"
"DID289","AID3629"
"DID289","AID2474"
"DID291","AID533"
"DID291","AID665"
"DID302","AID1342"
"DID302","AID540"
"DID302","AID1573"
"DID302","AID1745"
"DID302","AID2637"
"DID302","AID3564"
"DID306","AID1197"
"DID306","AID2296"
"DID306","AID3858"
"DID308","AID3151"
"DID308","AID1874"
"DID308","AID3105"
"DID308","AID65"
"DID309","AID2193"
"DID309","AID1001"
"DID309","AID3490"
"DID318","AID1970"
"DID318","AID2899"
"DID320","AID1137"
"DID320","AID1834"
"DID320","AID90"
"DID323","AID3420"
"DID323","AID1558"
"DID323","AID960"
"DID327","AID913"
"DID327","AID739"
"DID327","AID1145"
"DID336","AID161"
"DID336","AID1621"
"DID336","AID2270"
"DID341","AID3494"
"DID341","AID500"
"DID341","AID857"
"DID344","AID1028"
"DID344","AID1803"
"DID344","AID2042"
"DID344","AID3163"
"DID345","AID1296"
"DID345","AID375"
"DID345","AID3940"
"DID345","AID534"
"DID346","AID3628"
"DID346","AID1242"
"DID353","AID2514"
"DID353","AID2795"
"DID354","AID2281"
"DID354","AID278"
"DID354","AID1967"
"DID355","AID1500"
"DID355","AID3681"
"DID356","AID1125"
"DID356","AID2044"
"DID356","AID2797"
"DID356","AID3446"
"DID364","AID1802"
"DID364","AID2258"
"DID364","AID3757"
"DID364","AID2080"
"DID364","AID3387"
"DID364","AID243"
"DID368","AID1562"
"DID368","AID3115"
"DID368","AID1970"
"DID368","AID2899"
"DID368","AID2516"
"DID368","AID334"
"DID368","AID1233"
"DID368","AID3497"
"DID370","AID3108"
"DID370","AID3501"
"DID370","AID3518"
"DID370","AID1413"
"DID370","AID3509"
"DID370","AID113"
"DID370","AID2268"
"DID370","AID2734"
"DID370","AID827"
"DID373","AID1777"
"DID375","AID2350"
"DID375","AID24"
"DID375","AID3783"
"DID377","AID2263"
"DID377","AID2327"
"DID377","AID346"
"DID377","AID3513"
"DID377","AID3544"
"DID380","AID2193"
"DID386","AID962"
"DID386","AID1856"
"DID386","AID2044"
"DID389","AID2659"
"DID389","AID2706"
"DID394","AID3590"
"DID394","AID491"
"DID394","AID803"
"DID394","AID2762"
"DID400","AID3449"
"DID400","AID3492"
"DID400","AID649"
"DID400","AID1740"
"DID400","AID2285"
"DID400","AID3673"
"DID400","AID783"
"DID406","AID3222"
"DID406","AID603"
"DID406","AID16"
"DID417","AID2440"
"DID417","AID46"
"DID422","AID1085"
"DID422","AID733"
"DID422","AID1711"
"DID427","AID2621"
"DID427","AID2776"
"DID427","AID2864"
"DID427","AID890"
"DID427","AID2959"
"DID428","AID2257"
"DID429","AID284"
"DID429","AID630"
"DID431","AID297"
"DID431","AID1534"
"DID443","AID2176"
"DID443","AID2284"
"DID443","AID2317"
"DID447","AID1283"
"DID447","AID1765"
"DID447","AID2124"
"DID447","AID61"
"DID447","AID304"
"DID447","AID316"
"DID460","AID3982"
"DID461","AID611"
