UC_ID,UC_TITLE,UC_PrC,UC_PoC,UC_STEPS
UC_ID1,Power-On Self Test Failure0,UC_ID6970,UC_ID2782,Drug Library Soft Limit0
UC_ID2,Under-Flow Rate Alarm0,UC_ID2543,UC_ID8974,Drug Library Hard Limit0
UC_ID3,Pump Priming Failure0,UC_ID604,UC_ID585,ICE Failure0
UC_ID4,ICE Failure0,UC_ID5355,UC_ID1557,Clinician Authentication Failure0
UC_ID5,Downstream Occlusion0,UC_ID3704,UC_ID9060,Bolus request too soon0
UC_ID6,Prescription Authentication Failure0,UC_ID4213,UC_ID7774,Under-Flow Rate Alarm0
UC_ID7,Air-in-line Embolism0,UC_ID422,UC_ID8173,Pump Priming Failure0
UC_ID8,Bolus request too soon0,UC_ID4684,UC_ID9822,Sound Failure0
UC_ID9,Maximum Safe Dose0,UC_ID5720,UC_ID1009,Power-On Self Test Failure0
UC_ID10,Drug Library Soft Limit0,UC_ID271,UC_ID3781,Over-Flow Rate Alarm0
UC_ID11,Over-Flow Rate Alarm0,UC_ID3895,UC_ID1631,Drug Library Not Present or Corrupted0
UC_ID12,Internal Electronic Failure0,UC_ID8068,UC_ID273,Downstream Occlusion0
UC_ID13,Pump Overheating0,UC_ID4044,UC_ID8675,Pump Overheating0
UC_ID14,Drug Library Not Present or Corrupted0,UC_ID6053,UC_ID2905,Internal Electronic Failure0
UC_ID15,Sound Failure0,UC_ID1975,UC_ID3066,Maximum Safe Dose0
UC_ID16,Clinician Authentication Failure0,UC_ID6092,UC_ID8928,Patient Authentication Failure0
UC_ID17,Patient Authentication Failure0,UC_ID177,UC_ID2666,Air-in-line Embolism0
UC_ID18,Upstream Occlusion0,UC_ID7150,UC_ID2524,Upstream Occlusion0
UC_ID19,Drug Library Hard Limit0,UC_ID7828,UC_ID7822,Prescription Authentication Failure0
UC_ID20,Bolus request too soon1,UC_ID6853,UC_ID5883,Drug Library Soft Limit1
UC_ID21,Sound Failure1,UC_ID4319,UC_ID704,Maximum Safe Dose1
UC_ID22,Drug Library Soft Limit1,UC_ID3045,UC_ID431,Internal Electronic Failure1
UC_ID23,Downstream Occlusion1,UC_ID4196,UC_ID7291,Clinician Authentication Failure1
UC_ID24,Pump Priming Failure1,UC_ID4013,UC_ID7466,Patient Authentication Failure1
UC_ID25,Patient Authentication Failure1,UC_ID5065,UC_ID1512,Power-On Self Test Failure1
UC_ID26,Upstream Occlusion1,UC_ID4652,UC_ID7117,Under-Flow Rate Alarm1
UC_ID27,Drug Library Hard Limit1,UC_ID8050,UC_ID5265,Pump Priming Failure1
UC_ID28,Prescription Authentication Failure1,UC_ID3281,UC_ID2762,Air-in-line Embolism1
UC_ID29,Clinician Authentication Failure1,UC_ID5871,UC_ID8113,Downstream Occlusion1
UC_ID30,ICE Failure1,UC_ID1969,UC_ID9274,Sound Failure1
UC_ID31,Drug Library Not Present or Corrupted1,UC_ID1603,UC_ID8516,Drug Library Hard Limit1
UC_ID32,Pump Overheating1,UC_ID9973,UC_ID1494,Bolus request too soon1
UC_ID33,Under-Flow Rate Alarm1,UC_ID3546,UC_ID9468,Prescription Authentication Failure1
UC_ID34,Air-in-line Embolism1,UC_ID6953,UC_ID3512,Drug Library Not Present or Corrupted1
UC_ID35,Internal Electronic Failure1,UC_ID2375,UC_ID9519,Upstream Occlusion1
UC_ID36,Over-Flow Rate Alarm1,UC_ID3865,UC_ID2897,Over-Flow Rate Alarm1
UC_ID37,Maximum Safe Dose1,UC_ID2156,UC_ID7839,ICE Failure1
UC_ID38,Power-On Self Test Failure1,UC_ID8418,UC_ID4142,Pump Overheating1
UC_ID39,Downstream Occlusion2,UC_ID7886,UC_ID6794,Drug Library Soft Limit2
UC_ID40,Pump Priming Failure2,UC_ID8858,UC_ID3482,Clinician Authentication Failure2
UC_ID41,Power-On Self Test Failure2,UC_ID1204,UC_ID4084,Upstream Occlusion2
UC_ID42,Under-Flow Rate Alarm2,UC_ID626,UC_ID782,Maximum Safe Dose2
UC_ID43,Air-in-line Embolism2,UC_ID9908,UC_ID4145,Pump Priming Failure2
UC_ID44,Prescription Authentication Failure2,UC_ID6783,UC_ID834,ICE Failure2
