R_ID,R_NAME,R_DESC,R_OWNER,R_STATUS
R_ID1,R_NAME5998,The PCA pump shall use a physician’s prescription as device parameters.0,Alex,Completed
R_ID2,R_NAME7177,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0,Caleb,Completed
R_ID3,R_NAME22,–removed all Rx entry via scanner0,Alex,Open
R_ID4,R_NAME2021,The control panel shall allow authorized clinician bolus request 60 and choice of duration.0,Alex,Completed
R_ID5,R_NAME2020,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0,Alex,Completed
R_ID6,R_NAME4995,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0",Alex,Completed
R_ID7,R_NAME1045,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0",Priya,Completed
R_ID8,R_NAME1799,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0",Caleb,Completed
R_ID9,R_NAME451,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0",Jay,Completed
R_ID10,R_NAME5032,Each log entry shall have a time stamp81 with its time of occurrence.0,Caleb,Completed
R_ID11,R_NAME5993,A real-time clock must produce timestamps accurate to 10 ms.0,Jay,Open
R_ID12,R_NAME6746,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,Caleb,Open
R_ID13,R_NAME1439,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0",Caleb,Open
R_ID14,R_NAME2694,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,Priya,Completed
R_ID15,R_NAME4321,The PCA pump shall have a start button.0,Jay,Open
R_ID16,R_NAME726,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment0,Caleb,Deffered
R_ID17,R_NAME2492,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.0",Caleb,Completed
R_ID18,R_NAME5088,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.0",Caleb,Completed
R_ID19,R_NAME7693,"Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.0",Caleb,Deffered
R_ID20,R_NAME6849,The control panel must display currently-programmed patient data and physician’s prescription.0,Caleb,Completed
R_ID21,R_NAME2056,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.0,Caleb,Completed
R_ID22,R_NAME7833,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.0",Priya,Completed
R_ID23,R_NAME3958,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0",Caleb,Deffered
R_ID24,R_NAME5391,The PCA pump shall detect upstream occlusion.0,Priya,Completed
R_ID25,R_NAME968,"The mechanical pump shall pump drug at prescribed flow rates for basal, bolus, and KVO infusion when commanded.0",Caleb,Completed
R_ID26,R_NAME7451,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.0,Alex,Completed
R_ID27,R_NAME1276,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.0,Caleb,Completed
R_ID28,R_NAME648,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,Jay,Deffered
R_ID29,R_NAME3269,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,Priya,Completed
R_ID30,R_NAME5482,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",Caleb,Completed
R_ID31,R_NAME6955,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.0,Caleb,Completed
R_ID32,R_NAME2393,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration0",Alex,Completed
R_ID33,R_NAME7007,"–requirement removed, Rx read from drug container by scanner0",Alex,Completed
R_ID34,R_NAME6381,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.0",Caleb,Completed
R_ID35,R_NAME4532,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,Caleb,Completed
R_ID36,R_NAME1354,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",Caleb,Completed
