R_ID,R_NAME,R_DESC,R_OWNER,R_STATUS
R_ID1,R_NAME157,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0",Caleb,Deffered
R_ID2,R_NAME760,Alarms shall be issued in order of occurrence.0,Caleb,Deffered
R_ID3,R_NAME5085,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow0",Caleb,Completed
R_ID4,R_NAME18727,The scanner shall read and authenticate information from the drug’s package label0,Caleb,Completed
R_ID5,R_NAME13396,The ICE interface shall transmit encrypted and authenticated alarms and warnings to the ICE system.0,Caleb,Completed
R_ID6,R_NAME7871,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,Caleb,Open
R_ID7,R_NAME5662,Clinician-requested bolus delivery shall be immediately halted when alarms sound.0,Caleb,Open
R_ID8,R_NAME11595,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).0",Caleb,Completed
R_ID9,R_NAME17195,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops0",Priya,Completed
R_ID10,R_NAME15250,Component failure must not harm patient (beyond stopping function).0,Alex,Completed
R_ID11,R_NAME1439,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).0,Caleb,Completed
R_ID12,R_NAME12896,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,Priya,Completed
R_ID13,R_NAME17470,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Alex,Completed
R_ID14,R_NAME1084,"When the stop button is pressed, the current pump stroke shall be completed prior to stopping the pump.0",Alex,Completed
R_ID15,R_NAME2844,The alarm melody of audible alarms signals shall conform to Table AAA.1 of standard IEC 60601-1-8 for drug or fluid delivery. “C d g” shall be used for medium priority alarms; “C d g - C d” shall be used for high priority alarms0,Priya,Completed
R_ID16,R_NAME3797,"Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.0",Caleb,Completed
R_ID17,R_NAME489,"The mechanical pump shall halt pumping when commanded, or caused in response to an alarm condition.0",Caleb,Completed
R_ID18,R_NAME1901,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.0",Caleb,Completed
R_ID19,R_NAME12370,tactile response (button press).0,Caleb,Completed
R_ID20,R_NAME16133,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0,Caleb,Completed
R_ID21,R_NAME4359,The Control Panel shall provide means to cancel alarm signal inactivation.0,Alex,Completed
R_ID22,R_NAME19406,"If delivered basal flow rate exceeds the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow, the pump shall issue an basal over-infusion alarm (EC3.2.7).0",Alex,Completed
R_ID23,R_NAME6709,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)0,Jay,Completed
R_ID24,R_NAME15787,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.0",Caleb,Completed
R_ID25,R_NAME16830,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,Jay,Completed
R_ID26,R_NAME907,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,Caleb,Completed
R_ID27,R_NAME19341,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.0,Jay,Completed
R_ID28,R_NAME9053,"–removed, must scan Rx from label of drug container0",Caleb,Completed
R_ID29,R_NAME8231,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.0,Caleb,Completed
R_ID30,R_NAME10144,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.0,Caleb,Completed
R_ID31,R_NAME10499,The fault log shall record at least 1000 faults before overwriting oldest fault records first.0,Caleb,Completed
R_ID32,R_NAME19242,"The mechanical pump shall pump drug at prescribed flow rates for basal, bolus, and KVO infusion when commanded.0",Caleb,Completed
R_ID33,R_NAME5203,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",Caleb,Completed
R_ID34,R_NAME4644,–removed all Rx entry via scanner0,Priya,Completed
R_ID35,R_NAME15771,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,Priya,Completed
R_ID36,R_NAME4945,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,Jay,Completed
R_ID37,R_NAME18116,The estimate of remaining battery energy must be accurate to within Xbtty = 25%.0,Priya,Completed
R_ID38,R_NAME12214,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.0,Caleb,Open
R_ID39,R_NAME17561,The event log shall record 30 days of typical events before overwriting oldest event records first.0,Caleb,Completed
R_ID40,R_NAME17233,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.0",Priya,Completed
R_ID41,R_NAME19128,The ICE Interface shall transmit encrypted and authenticated current operating status to the ICE system.0,Caleb,Completed
R_ID42,R_NAME14075,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions0",Caleb,Open
R_ID43,R_NAME1964,"The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup, either continuously or spread over an hour. (Five minutes to recharge per minute using battery.)0",Alex,Completed
R_ID44,R_NAME9840,The control panel shall allow authorized clinician bolus request 60 and choice of duration.0,Priya,Completed
R_ID45,R_NAME2505,"The pump shall maintain a minimum KVO flow rate of FKV O = 1 ml/hr at all times during infusion, even during alarms, unless the alarm also stops flow. Table 4 defines which alarms also stop drug flow completely.0",Caleb,Completed
R_ID46,R_NAME5065,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,Jay,Completed
R_ID47,R_NAME292,"–requirement removed, Rx read from drug container by scanner0",Jay,Deffered
R_ID48,R_NAME8674,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0,Caleb,Completed
R_ID49,R_NAME9525,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist0",Jay,Completed
R_ID50,R_NAME8852,Each tone in the alarm melody shall be composed of a minimum of 4 harmonic components in the range 300 Hz to 4000 Hz comprising an inverted 9th jazz chord.0,Caleb,Completed
R_ID51,R_NAME12561,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",Alex,Completed
R_ID52,R_NAME9640,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.0",Priya,Completed
R_ID53,R_NAME257,The mechanical pump shall not allow reverse flow from the patient into the pump.0,Caleb,Completed
R_ID54,R_NAME6031,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)0,Caleb,Completed
R_ID55,R_NAME9380,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",Caleb,Deffered
R_ID56,R_NAME15729,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,Alex,Completed
R_ID57,R_NAME19536,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.0",Caleb,Completed
R_ID58,R_NAME15452,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.0,Priya,Completed
R_ID59,R_NAME8821,The PCA pump shall detect upstream occlusion.0,Jay,Completed
R_ID60,R_NAME9455,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration0",Alex,Completed
R_ID61,R_NAME17018,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.0",Alex,Completed
