CC_ID,TC_ID
CC_ID1,TC_ID10664
CC_ID1,TC_ID11447
CC_ID1,TC_ID17047
CC_ID1,TC_ID19780
CC_ID1,TC_ID21241
CC_ID1,TC_ID22208
CC_ID1,TC_ID22527
CC_ID1,TC_ID23912
CC_ID1,TC_ID24075
CC_ID1,TC_ID25159
CC_ID1,TC_ID5033
CC_ID1,TC_ID5042
CC_ID1,TC_ID5174
CC_ID1,TC_ID6407
CC_ID1,TC_ID7677
CC_ID1,TC_ID9949
CC_ID2,TC_ID11202
CC_ID2,TC_ID7688
CC_ID2,TC_ID8887
CC_ID3,TC_ID14978
CC_ID3,TC_ID18551
CC_ID3,TC_ID23166
CC_ID3,TC_ID25430
CC_ID3,TC_ID259
CC_ID3,TC_ID4532
CC_ID3,TC_ID7096
CC_ID4,TC_ID11400
CC_ID4,TC_ID11604
CC_ID4,TC_ID14561
CC_ID4,TC_ID14990
CC_ID4,TC_ID18037
CC_ID4,TC_ID20745
CC_ID4,TC_ID20771
CC_ID4,TC_ID21657
CC_ID4,TC_ID25326
CC_ID4,TC_ID25784
CC_ID4,TC_ID4697
CC_ID5,TC_ID13539
CC_ID5,TC_ID13586
CC_ID5,TC_ID13849
CC_ID5,TC_ID15748
CC_ID5,TC_ID16379
CC_ID5,TC_ID16833
CC_ID5,TC_ID18522
CC_ID5,TC_ID22343
CC_ID5,TC_ID23059
CC_ID5,TC_ID2658
CC_ID5,TC_ID789
CC_ID6,TC_ID10845
CC_ID6,TC_ID11503
CC_ID6,TC_ID20858
CC_ID6,TC_ID2657
CC_ID6,TC_ID5509
CC_ID6,TC_ID6449
CC_ID6,TC_ID8420
CC_ID7,TC_ID16406
CC_ID7,TC_ID18834
CC_ID7,TC_ID21109
CC_ID7,TC_ID21662
CC_ID7,TC_ID25302
CC_ID7,TC_ID25869
CC_ID7,TC_ID3275
CC_ID7,TC_ID5006
CC_ID7,TC_ID8061
CC_ID8,TC_ID1591
CC_ID8,TC_ID17823
CC_ID8,TC_ID18525
CC_ID8,TC_ID18689
CC_ID8,TC_ID2871
CC_ID8,TC_ID3689
CC_ID8,TC_ID4111
CC_ID8,TC_ID4173
CC_ID8,TC_ID8011
CC_ID9,TC_ID10469
CC_ID9,TC_ID13748
CC_ID9,TC_ID14638
CC_ID9,TC_ID14854
CC_ID9,TC_ID16578
CC_ID9,TC_ID18677
CC_ID9,TC_ID1879
CC_ID9,TC_ID19182
CC_ID9,TC_ID19940
CC_ID9,TC_ID20051
CC_ID9,TC_ID21156
CC_ID9,TC_ID25807
CC_ID9,TC_ID5129
CC_ID9,TC_ID685
CC_ID9,TC_ID799
CC_ID9,TC_ID9685
CC_ID10,TC_ID14465
CC_ID10,TC_ID15013
CC_ID10,TC_ID15561
CC_ID10,TC_ID8367
CC_ID10,TC_ID9104
CC_ID10,TC_ID9854
CC_ID11,TC_ID120
CC_ID11,TC_ID17929
CC_ID11,TC_ID18529
CC_ID11,TC_ID3614
CC_ID11,TC_ID5452
CC_ID11,TC_ID5654
CC_ID11,TC_ID8698
CC_ID11,TC_ID9163
CC_ID12,TC_ID13153
CC_ID12,TC_ID13347
CC_ID12,TC_ID13819
CC_ID12,TC_ID15042
CC_ID12,TC_ID1929
CC_ID12,TC_ID25706
CC_ID12,TC_ID260
CC_ID12,TC_ID2776
CC_ID12,TC_ID3649
CC_ID12,TC_ID7816
CC_ID13,TC_ID10224
CC_ID13,TC_ID15477
CC_ID13,TC_ID15879
CC_ID13,TC_ID18094
CC_ID13,TC_ID21481
CC_ID13,TC_ID4650
CC_ID13,TC_ID5667
CC_ID13,TC_ID9944
CC_ID14,TC_ID13378
CC_ID14,TC_ID16002
CC_ID14,TC_ID17270
CC_ID14,TC_ID18213
CC_ID14,TC_ID20225
CC_ID14,TC_ID8596
CC_ID15,TC_ID11241
CC_ID15,TC_ID16377
CC_ID15,TC_ID17153
CC_ID15,TC_ID18156
CC_ID15,TC_ID18224
CC_ID15,TC_ID20215
CC_ID15,TC_ID21928
CC_ID15,TC_ID22081
CC_ID15,TC_ID4337
CC_ID15,TC_ID680
CC_ID15,TC_ID730
CC_ID16,TC_ID21180
CC_ID16,TC_ID22769
CC_ID17,TC_ID10350
CC_ID17,TC_ID10885
CC_ID17,TC_ID11242
CC_ID17,TC_ID13076
CC_ID17,TC_ID17685
CC_ID17,TC_ID18854
CC_ID17,TC_ID20016
CC_ID17,TC_ID2021
CC_ID17,TC_ID20375
CC_ID17,TC_ID2326
CC_ID17,TC_ID2337
CC_ID17,TC_ID23457
CC_ID17,TC_ID23619
CC_ID17,TC_ID24502
CC_ID17,TC_ID25216
CC_ID17,TC_ID7968
CC_ID18,TC_ID13107
CC_ID18,TC_ID16276
CC_ID18,TC_ID17401
CC_ID18,TC_ID19072
CC_ID18,TC_ID21337
CC_ID18,TC_ID21497
CC_ID18,TC_ID22112
CC_ID18,TC_ID25890
CC_ID18,TC_ID4773
CC_ID18,TC_ID7851
CC_ID19,TC_ID11681
CC_ID19,TC_ID13442
CC_ID19,TC_ID13642
CC_ID19,TC_ID13982
CC_ID19,TC_ID18300
CC_ID19,TC_ID2142
CC_ID19,TC_ID22209
CC_ID19,TC_ID22493
CC_ID19,TC_ID2377
CC_ID19,TC_ID2687
CC_ID19,TC_ID5202
CC_ID19,TC_ID6077
CC_ID20,TC_ID11808
CC_ID20,TC_ID15516
CC_ID20,TC_ID15973
CC_ID20,TC_ID18592
CC_ID20,TC_ID22366
CC_ID20,TC_ID6338
CC_ID21,TC_ID12574
CC_ID21,TC_ID16041
CC_ID21,TC_ID18778
CC_ID21,TC_ID260
CC_ID21,TC_ID2617
CC_ID21,TC_ID3800
CC_ID21,TC_ID3812
CC_ID21,TC_ID6577
CC_ID22,TC_ID1125
CC_ID22,TC_ID14158
CC_ID22,TC_ID1779
CC_ID22,TC_ID17963
CC_ID22,TC_ID21598
CC_ID22,TC_ID23126
CC_ID22,TC_ID23129
CC_ID22,TC_ID3747
CC_ID22,TC_ID5357
CC_ID22,TC_ID9023
CC_ID23,TC_ID12484
CC_ID23,TC_ID1284
CC_ID23,TC_ID1556
CC_ID23,TC_ID17592
CC_ID23,TC_ID17733
CC_ID23,TC_ID19358
CC_ID23,TC_ID3654
CC_ID23,TC_ID4523
CC_ID24,TC_ID18787
CC_ID24,TC_ID24600
CC_ID24,TC_ID9076
CC_ID25,TC_ID15353
CC_ID25,TC_ID178
CC_ID25,TC_ID20543
CC_ID25,TC_ID7695
CC_ID26,TC_ID13252
CC_ID26,TC_ID23228
CC_ID26,TC_ID23824
CC_ID26,TC_ID25406
CC_ID26,TC_ID25408
CC_ID27,TC_ID11530
CC_ID27,TC_ID9282
CC_ID28,TC_ID10417
CC_ID28,TC_ID1156
CC_ID28,TC_ID14872
CC_ID28,TC_ID19376
CC_ID28,TC_ID22144
CC_ID28,TC_ID25491
CC_ID28,TC_ID2856
CC_ID28,TC_ID3903
CC_ID28,TC_ID6656
CC_ID29,TC_ID14342
CC_ID29,TC_ID16043
CC_ID29,TC_ID16890
CC_ID29,TC_ID18234
CC_ID29,TC_ID20126
CC_ID29,TC_ID2052
CC_ID29,TC_ID23997
CC_ID29,TC_ID25166
CC_ID29,TC_ID2620
CC_ID29,TC_ID4170
CC_ID29,TC_ID5601
CC_ID29,TC_ID6702
CC_ID29,TC_ID6760
CC_ID29,TC_ID694
CC_ID29,TC_ID9616
CC_ID30,TC_ID14853
CC_ID30,TC_ID15817
CC_ID30,TC_ID15945
CC_ID30,TC_ID18562
CC_ID30,TC_ID18751
CC_ID30,TC_ID21467
CC_ID30,TC_ID24723
CC_ID30,TC_ID555
CC_ID30,TC_ID7081
CC_ID30,TC_ID7531
CC_ID31,TC_ID11112
CC_ID31,TC_ID11531
CC_ID31,TC_ID12890
CC_ID31,TC_ID1795
CC_ID31,TC_ID2079
CC_ID31,TC_ID4385
CC_ID31,TC_ID853
CC_ID32,TC_ID20915
CC_ID32,TC_ID2184
CC_ID33,TC_ID10289
CC_ID33,TC_ID12393
CC_ID33,TC_ID19718
CC_ID33,TC_ID4646
CC_ID33,TC_ID5490
CC_ID33,TC_ID7804
CC_ID34,TC_ID12213
CC_ID34,TC_ID13209
CC_ID34,TC_ID134
CC_ID34,TC_ID16616
CC_ID34,TC_ID17448
CC_ID34,TC_ID18433
